iter	TotalF1	MultiClass
0	0.6024922294	1.06765723
1	0.621116995	1.035564631
2	0.6714603962	1.007601234
3	0.6680550175	0.9771245471
4	0.6940735368	0.9481991375
5	0.7030502964	0.9250975934
6	0.7000811521	0.9022910387
7	0.7072242651	0.8838774609
8	0.711918847	0.8621840257
9	0.7400159192	0.8419561834
10	0.7434060926	0.8250114762
11	0.7522900625	0.8119022038
12	0.7523616197	0.797862685
13	0.7629041583	0.787720513
14	0.76999244	0.7753008594
15	0.7745332868	0.7608884472
16	0.7758234213	0.7504838352
17	0.7854452113	0.7400438053
18	0.7807154494	0.7292446183
19	0.7890638913	0.7177177307
20	0.8020912672	0.7080872234
21	0.7923749732	0.6974141427
22	0.8018344971	0.6863734099
23	0.8170010185	0.6771541468
24	0.8122535147	0.6653024725
25	0.811444813	0.6592159067
26	0.8303780024	0.6500030478
27	0.829297493	0.6406882491
28	0.8350042055	0.6335219205
29	0.8444916509	0.6250521107
30	0.8444916509	0.6207338835
31	0.8545541821	0.6132442067
32	0.8606442706	0.6074616605
33	0.8606442706	0.6003072172
34	0.8684489979	0.5943947046
35	0.8777808095	0.5864363352
36	0.8818243895	0.5775308041
37	0.8867866513	0.5737542555
38	0.8779293303	0.5680396482
39	0.8838653168	0.5624153393
40	0.8920325316	0.555350638
41	0.8924178546	0.5494081833
42	0.8950231481	0.5445141755
43	0.8950231481	0.5388826518
44	0.8973844629	0.5330126744
45	0.9002265944	0.526378086
46	0.9025921478	0.5210108811
47	0.9025921478	0.5174310739
48	0.9102697804	0.5108392857
49	0.9102697804	0.5038622135
50	0.9130725371	0.4996145276
51	0.9155586355	0.4935619152
52	0.9155586355	0.4884975178
53	0.9155586355	0.4847068688
54	0.9183373289	0.4817353511
55	0.9238240547	0.4781528121
56	0.9209932543	0.4712608776
57	0.9209932543	0.4647113903
58	0.9237308833	0.4592497512
59	0.9210921867	0.4545517535
60	0.9267329603	0.4489416986
61	0.9267329603	0.4447250437
62	0.931814321	0.4394866377
63	0.9296256027	0.4347041412
64	0.9371030449	0.4301052858
65	0.9344682165	0.4252442948
66	0.9395946051	0.4233015105
67	0.9371663299	0.4199054276
68	0.9347370561	0.4153305261
69	0.9347370561	0.4110612081
70	0.9321149271	0.4060759258
71	0.9321149271	0.4020230238
72	0.9346036689	0.3985139397
73	0.9370272079	0.3958152655
74	0.9370272079	0.391342579
75	0.9420854691	0.3872403475
76	0.9393799789	0.3826618979
77	0.9369592684	0.3793774127
78	0.9444486624	0.374499624
79	0.9446457138	0.3716584401
80	0.9471377686	0.3690963016
81	0.9446969402	0.3649312915
82	0.9523779083	0.3612552287
83	0.9549441408	0.3563568525
84	0.9523779083	0.3539404555
85	0.9523779083	0.3507425808
86	0.9548191474	0.3474124419
87	0.9548191474	0.3439197342
88	0.9573922961	0.3406762887
89	0.9624499387	0.3378138615
90	0.9599497171	0.3359241437
91	0.9624499387	0.3339137095
92	0.9624499387	0.3321311552
93	0.9599942396	0.3283819883
94	0.9599942396	0.3255852657
95	0.9649495968	0.3218947753
96	0.9624499387	0.3183063859
97	0.9649495968	0.3153648619
98	0.9624499387	0.3125747061
99	0.9674052939	0.3100190978
