iter	Passed	Remaining
0	1	164
1	2	135
2	4	145
3	6	167
4	9	177
5	12	188
6	13	182
7	15	175
8	17	178
9	19	177
10	22	183
11	24	178
12	25	172
13	27	171
14	29	168
15	32	169
16	34	169
17	37	172
18	39	168
19	42	170
20	44	168
21	46	166
22	49	164
23	51	164
24	53	161
25	55	158
26	58	157
27	60	156
28	62	153
29	65	151
30	67	150
31	69	147
32	71	145
33	73	142
34	74	138
35	77	138
36	80	137
37	83	135
38	85	134
39	87	131
40	89	128
41	91	126
42	93	124
43	95	121
44	97	119
45	99	116
46	100	113
47	102	111
48	103	107
49	104	104
50	107	103
51	108	100
52	110	97
53	110	94
54	111	91
55	112	88
56	113	85
57	115	83
58	116	80
59	117	78
60	118	75
61	119	73
62	121	71
63	122	69
64	123	66
65	124	63
66	124	61
67	125	59
68	126	56
69	127	54
70	127	52
71	128	49
72	128	47
73	129	45
74	130	43
75	130	41
76	131	39
77	131	37
78	132	35
79	132	33
80	133	31
81	134	29
82	134	27
83	135	25
84	135	23
85	136	22
86	136	20
87	137	18
88	137	17
89	138	15
90	138	13
91	139	12
92	139	10
93	140	8
94	140	7
95	141	5
96	142	4
97	142	2
98	143	1
99	143	0
