release_id,target_date,sprint_count,avg_velocity,test_coverage,defect_density,spillover_ratio,code_churn,open_critical_bugs,regression_pass_rate,sprint_goal_met,velocity_variance,effort_ratio,days_since_incident,readiness_label,readiness
v1.0.1,2023-01-15,3,35,69.5,6.57,12.2,8.1,7,97.1,3,5.4,0.86,62,Not Ready,28
v1.0.2,2023-03-02,4,35,55.8,2.26,5.4,20.3,3,76.4,2,15.3,1.43,28,Not Ready,48
v1.0.3,2023-05-05,5,32,84.6,4.66,12.1,31.7,8,66.2,3,7.5,1.49,40,Not Ready,38
v1.1.0,2023-06-26,4,37,60.6,2.75,16.9,32.8,4,75.7,3,19.2,1.35,64,Not Ready,43
v1.1.1,2023-08-23,3,39,60.6,4.25,12.6,32.0,5,73.4,1,12.9,1.39,13,Not Ready,45
v1.1.2,2023-09-02,4,33,75.0,5.0,12.8,14.4,0,77.7,2,6.0,0.99,79,At Risk,68
v1.1.3,2023-10-18,5,31,68.1,6.76,16.0,38.6,3,67.8,3,5.2,0.97,78,Not Ready,33
v1.2.0,2024-01-28,4,38,78.6,3.71,18.0,38.6,10,81.7,2,16.6,1.08,62,Not Ready,39
v1.2.1,2024-01-10,3,32,91.9,4.96,22.0,27.4,6,69.1,2,19.9,1.25,63,Not Ready,31
v1.2.2,2024-05-24,4,39,94.4,7.01,17.9,31.0,4,65.3,1,19.3,1.34,68,Not Ready,44
v1.2.3,2024-06-28,3,39,64.3,0.99,17.5,18.8,4,93.7,3,6.5,1.43,27,Not Ready,33
v1.3.0,2024-07-18,5,30,81.7,2.54,14.7,18.6,3,97.3,3,6.9,1.26,23,At Risk,71
v1.3.1,2024-06-26,3,30,74.8,7.07,7.3,11.9,6,77.2,2,17.7,1.38,33,At Risk,58
v1.3.2,2024-11-08,3,36,63.8,5.59,8.2,27.1,4,70.5,3,13.8,1.14,73,Not Ready,26
v1.3.3,2024-09-08,5,34,77.1,6.89,6.3,30.7,5,61.5,1,12.9,1.44,47,Not Ready,25
v1.4.0,2025-01-19,5,36,59.5,1.64,10.5,26.2,5,79.6,2,6.8,0.88,77,Not Ready,49
v1.4.1,2025-02-21,5,30,68.1,6.89,19.6,33.9,5,84.4,2,17.1,1.48,46,Not Ready,37
v1.4.2,2025-01-15,5,39,92.9,1.99,24.3,41.0,2,84.6,1,15.5,1.48,52,At Risk,63
v1.4.3,2025-07-03,4,34,87.2,2.1,23.0,27.4,4,77.6,2,16.0,1.36,79,At Risk,58
v1.5.0,2025-03-23,4,36,60.3,2.34,13.0,37.6,8,68.8,2,15.1,1.17,27,Not Ready,40
v1.5.1,2025-10-31,3,34,70.2,3.35,15.6,35.0,10,83.6,1,15.5,1.46,73,Not Ready,31
v1.5.2,2025-09-07,3,32,61.4,0.71,5.5,25.2,1,90.6,3,19.1,1.24,13,Not Ready,40
v1.5.3,2026-05-31,4,32,85.6,7.11,11.5,20.4,0,68.1,3,12.4,1.13,86,Not Ready,36
v1.6.0,2026-01-23,5,33,91.2,3.27,17.3,34.3,0,60.9,3,18.8,1.33,45,Not Ready,43
v1.6.1,2026-06-16,5,38,60.0,6.41,13.1,13.3,10,94.6,1,19.7,1.2,29,Not Ready,45
v1.6.2,2026-11-15,5,33,68.3,7.02,24.3,25.7,5,93.7,3,12.4,1.47,17,Not Ready,32
v1.6.3,2026-01-11,3,33,91.0,7.0,24.2,42.5,5,71.4,1,17.9,1.32,21,Not Ready,31
v1.7.0,2026-06-10,3,38,57.4,4.58,17.4,11.4,0,63.4,1,17.8,0.95,31,Not Ready,42
v1.7.1,2026-05-31,5,35,82.4,4.59,19.4,30.2,8,94.5,3,11.7,1.23,50,Not Ready,45
