release_id,target_date,sprint_count,avg_velocity,test_coverage,defect_density,spillover_ratio,code_churn,open_critical_bugs,regression_pass_rate,sprint_goal_met,velocity_variance,effort_ratio,days_since_incident,readiness_label,readiness
v1.0.1,2023-01-15,3,35,80.6,3.43,14.1,20.2,6,82.3,2,11.5,1.24,35,At Risk,70
v1.0.2,2023-03-16,4,37,54.0,6.5,33.7,38.6,9,61.9,0,24.2,1.34,19,Not Ready,31
v1.0.3,2023-05-09,3,35,85.4,0.88,9.8,12.3,1,90.8,3,4.7,1.05,40,Ready,95
v1.1.0,2023-07-03,3,32,84.6,0.76,11.2,12.6,0,90.2,3,8.7,0.95,41,Ready,94
v1.1.1,2023-09-01,3,33,85.5,2.16,6.6,19.0,2,92.3,3,7.9,1.02,54,Ready,80
v1.1.2,2023-10-16,4,40,82.8,3.94,12.2,31.7,2,86.8,2,8.7,1.1,25,At Risk,60
v1.1.3,2023-11-30,5,38,76.1,2.9,16.2,30.5,3,84.1,1,10.1,1.11,16,At Risk,69
v1.2.0,2024-01-14,3,40,84.9,1.62,11.5,19.4,2,91.4,2,5.8,0.9,72,Ready,91
v1.2.1,2024-03-08,4,37,92.1,0.78,7.7,17.2,2,93.7,2,6.2,0.9,38,Ready,90
v1.2.2,2024-04-28,4,31,78.2,3.63,19.2,27.6,4,76.3,2,9.8,1.22,36,At Risk,73
v1.2.3,2024-07-01,5,32,75.1,2.3,13.8,18.7,3,77.8,2,13.6,1.18,43,At Risk,62
v1.3.0,2024-08-19,5,31,76.2,2.35,20.2,26.8,3,80.1,1,15.5,1.2,36,At Risk,58
v1.3.1,2024-10-25,5,36,92.0,1.26,6.0,14.8,0,93.3,3,8.8,1.0,42,Ready,84
v1.3.2,2024-12-20,4,34,93.5,0.73,4.7,15.8,2,96.5,3,8.3,1.01,85,Ready,95
v1.3.3,2025-02-14,3,38,48.4,4.04,34.0,37.0,7,74.2,0,29.0,1.22,6,Not Ready,36
v1.4.0,2025-04-18,5,33,79.0,3.71,19.2,29.1,4,84.4,1,10.4,1.11,19,At Risk,69
v1.4.1,2025-06-13,4,34,92.8,1.1,11.8,16.5,2,93.0,3,9.1,1.0,57,Ready,80
v1.4.2,2025-08-03,4,33,89.7,2.29,5.2,9.3,0,88.4,3,9.2,1.02,37,Ready,81
v1.4.3,2025-09-23,5,37,88.3,0.63,7.9,17.4,0,89.9,2,8.2,0.96,53,Ready,86
v1.5.0,2025-11-09,3,37,94.7,0.61,9.7,10.8,0,93.5,2,5.6,0.94,46,Ready,94
v1.5.1,2026-01-18,4,30,65.6,7.86,21.2,44.7,6,65.0,0,23.9,1.22,8,Not Ready,49
v1.5.2,2026-03-29,4,38,61.3,7.18,22.2,38.8,5,66.2,0,24.8,1.55,1,Not Ready,40
